subject_id,question,value
C001,smoothness,5
C001,hydration_feel,3
C001,overall_satisfaction,4
C002,smoothness,4
C002,hydration_feel,4
C002,overall_satisfaction,3
C003,smoothness,2
C003,hydration_feel,5
C003,overall_satisfaction,5
C004,smoothness,2
C004,hydration_feel,3
C004,overall_satisfaction,5
C005,smoothness,5
C005,hydration_feel,2
C005,overall_satisfaction,5
C006,smoothness,3
C006,hydration_feel,3
C006,overall_satisfaction,3
C007,smoothness,4
C007,hydration_feel,5
C007,overall_satisfaction,5
C008,smoothness,4
C008,hydration_feel,4
C008,overall_satisfaction,4
C009,smoothness,5
C009,hydration_feel,5
C009,overall_satisfaction,5
C010,smoothness,4
C010,hydration_feel,4
C010,overall_satisfaction,4
C011,smoothness,2
C011,hydration_feel,4
C011,overall_satisfaction,5
C012,smoothness,2
C012,hydration_feel,3
C012,overall_satisfaction,3
C013,smoothness,5
C013,hydration_feel,3
C013,overall_satisfaction,4
C014,smoothness,4
C014,hydration_feel,5
C014,overall_satisfaction,4
C015,smoothness,5
C015,hydration_feel,3
C015,overall_satisfaction,5
C016,smoothness,4
C016,hydration_feel,5
C016,overall_satisfaction,4
C017,smoothness,4
C017,hydration_feel,5
C017,overall_satisfaction,5
C018,smoothness,4
C018,hydration_feel,5
C018,overall_satisfaction,4
C019,smoothness,4
C019,hydration_feel,2
C019,overall_satisfaction,4
C020,smoothness,5
C020,hydration_feel,5
C020,overall_satisfaction,2
C021,smoothness,3
C021,hydration_feel,5
C021,overall_satisfaction,3
C022,smoothness,4
C022,hydration_feel,1
C022,overall_satisfaction,5
C023,smoothness,4
C023,hydration_feel,5
C023,overall_satisfaction,4
C024,smoothness,4
C024,hydration_feel,5
C024,overall_satisfaction,4
C025,smoothness,3
C025,hydration_feel,3
C025,overall_satisfaction,5
C026,smoothness,4
C026,hydration_feel,3
C026,overall_satisfaction,5
C027,smoothness,4
C027,hydration_feel,5
C027,overall_satisfaction,4
C028,smoothness,5
C028,hydration_feel,5
C028,overall_satisfaction,4
C029,smoothness,5
C029,hydration_feel,4
C029,overall_satisfaction,2
C030,smoothness,5
C030,hydration_feel,1
C030,overall_satisfaction,4
C031,smoothness,4
C031,hydration_feel,5
C031,overall_satisfaction,5
C032,smoothness,3
C032,hydration_feel,5
C032,overall_satisfaction,4
C033,smoothness,4
C033,hydration_feel,2
C033,overall_satisfaction,4
C034,smoothness,5
C034,hydration_feel,4
C034,overall_satisfaction,4
C035,smoothness,1
C035,hydration_feel,3
C035,overall_satisfaction,5
C036,smoothness,4
C036,hydration_feel,4
C036,overall_satisfaction,4
C037,smoothness,5
C037,hydration_feel,3
C037,overall_satisfaction,4
C038,smoothness,5
C038,hydration_feel,5
C038,overall_satisfaction,5
C039,smoothness,4
C039,hydration_feel,4
C039,overall_satisfaction,5
C040,smoothness,5
C040,hydration_feel,5
C040,overall_satisfaction,3
C041,smoothness,5
C041,hydration_feel,4
C041,overall_satisfaction,4
C042,smoothness,5
C042,hydration_feel,5
C042,overall_satisfaction,3
C043,smoothness,3
C043,hydration_feel,3
C043,overall_satisfaction,4
C044,smoothness,3
C044,hydration_feel,4
C044,overall_satisfaction,4
C045,smoothness,4
C045,hydration_feel,4
C045,overall_satisfaction,4
C046,smoothness,4
C046,hydration_feel,5
C046,overall_satisfaction,5
C047,smoothness,5
C047,hydration_feel,5
C047,overall_satisfaction,5
C048,smoothness,1
C048,hydration_feel,5
C048,overall_satisfaction,3
C049,smoothness,5
C049,hydration_feel,5
C049,overall_satisfaction,5
C050,smoothness,5
C050,hydration_feel,4
C050,overall_satisfaction,4
